Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
SUV - STANDARD,3.6,6,A6,X,13.0,9.3,11.3,25,265
SUV - STANDARD,2.5,4,A6,X,11.2,9.4,10.4,27,243
SUV - STANDARD,3.6,6,A6,X,13.3,9.5,11.6,24,271
PICKUP TRUCK - SMALL,2.5,4,A6,X,12.0,9.2,10.7,26,252
PICKUP TRUCK - SMALL,2.5,4,M6,X,12.2,9.2,10.9,26,254
PICKUP TRUCK - SMALL,2.8,4,A6,D,10.8,7.9,9.5,30,255
PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274
PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.6,11.3,25,263
PICKUP TRUCK - SMALL,2.8,4,A6,D,12.1,8.4,10.4,27,280
PICKUP TRUCK - SMALL,3.6,6,A8,X,14.0,9.9,12.2,23,286
VAN - PASSENGER,6.0,8,A6,X,21.8,14.8,18.6,15,438
VAN - PASSENGER,6.0,8,A6,X,22.3,14.9,19.0,15,445
PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,297
PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.2,10.7,13.1,22,309
PICKUP TRUCK - STANDARD,6.2,8,A8,Z,15.9,11.2,13.8,20,323
PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,10.0,11.9,24,279
PICKUP TRUCK - STANDARD,4.3,6,A6,E,19.3,14.3,17.1,17,284
PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,298
PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.7,13.9,17.1,17,284
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,307
PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.9,11.5,13.9,20,327
PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.0,11.7,14.1,20,330
PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.1,10.6,12.5,23,294
PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.2,18.0,16,294
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,307
PICKUP TRUCK - STANDARD,5.3,8,A6,E,20.7,14.4,17.9,16,317
PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.4,11.2,13.0,22,303
SUV - SMALL,2.4,4,A6,X,11.0,7.5,9.4,30,221
SUV - SMALL,2.4,4,A6,X,11.0,7.5,9.4,30,221
SUV - SMALL,2.4,4,A6,E,15.6,11.0,13.6,21,223
SUV - SMALL,3.6,6,A6,X,14.1,9.7,12.1,23,285
SUV - SMALL,2.4,4,A6,X,11.5,8.3,10.1,28,237
SUV - SMALL,3.6,6,A6,X,15.0,10.4,13.0,22,304
SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305
SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305
SUV - STANDARD,5.3,8,A6,E,20.0,13.5,17.1,17,284
SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,310
SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,310
SUV - STANDARD,5.3,8,A6,E,20.8,14.5,18.0,16,299
SUV - STANDARD,6.2,8,A8,Z,16.0,11.7,14.1,20,330
SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305
SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305
SUV - STANDARD,5.3,8,A6,E,20.0,13.5,17.1,17,284
SUV - STANDARD,5.3,8,A6,X,15.4,10.8,13.3,21,312
SUV - STANDARD,5.3,8,A6,X,15.4,10.8,13.3,21,312
SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,317
SUV - STANDARD,6.2,8,A8,Z,16.3,11.7,14.2,20,333
MID-SIZE,2.4,4,AV7,X,9.2,6.9,8.2,34,190
MID-SIZE,2.4,4,M6,X,10.4,7.4,9.0,31,210
MID-SIZE,3.5,6,AS6,X,11.4,7.4,9.6,29,225
MID-SIZE,3.5,6,M6,X,12.9,8.4,10.9,26,254
MID-SIZE,2.4,4,AV,X,8.7,6.6,7.8,36,180
MID-SIZE,3.5,6,A6,X,11.4,7.2,9.5,30,223
MID-SIZE,2.0,4,AV,X,4.9,5.1,5.0,56,114
COMPACT,1.5,4,AV7,X,7.5,5.9,6.8,42,158
COMPACT,1.5,4,M6,X,7.7,5.7,6.8,42,159
COMPACT,2.0,4,AV,X,7.8,6.0,7.0,40,163
COMPACT,2.0,4,M6,X,8.5,6.1,7.4,38,173
MID-SIZE,1.5,4,AV,X,7.4,5.6,6.6,43,153
MID-SIZE,2.0,4,AV,X,7.8,6.0,7.0,40,163
MID-SIZE,2.0,4,M6,X,8.5,6.0,7.4,38,172
FULL-SIZE,1.5,4,AV,X,7.7,6.0,6.9,41,162
FULL-SIZE,1.5,4,AV7,X,7.9,6.6,7.3,39,170
FULL-SIZE,1.5,4,AV7,Z,7.9,6.6,7.3,39,170
FULL-SIZE,1.5,4,M6,X,8.0,6.2,7.2,39,167
FULL-SIZE,1.5,4,M6,Z,8.0,6.2,7.2,39,167
SUV - SMALL,1.5,4,AV,X,8.4,7.0,7.8,36,181
SUV - SMALL,1.5,4,AV,X,8.7,7.2,8.0,35,188
STATION WAGON - SMALL,1.5,4,AV,X,7.0,5.9,6.5,43,154
STATION WAGON - SMALL,1.5,4,AV7,X,7.6,6.4,7.0,40,164
STATION WAGON - SMALL,1.5,4,M6,X,8.1,6.6,7.4,38,174
STATION WAGON - SMALL,1.8,4,AV,X,8.3,6.9,7.7,37,180
STATION WAGON - SMALL,1.8,4,AV7,X,8.3,6.9,7.7,37,180
STATION WAGON - SMALL,1.8,4,M6,X,9.4,7.1,8.4,34,195
STATION WAGON - SMALL,1.8,4,AV,X,8.9,7.5,8.2,34,194
STATION WAGON - SMALL,1.8,4,AV7,X,8.9,7.5,8.2,34,194
MINIVAN,3.5,6,A6,X,12.3,8.6,10.7,26,251
SUV - SMALL,3.5,6,A6,X,12.4,8.8,10.8,26,254
SUV - SMALL,3.5,6,A6,X,13.0,9.3,11.3,25,266
SUV - SMALL,3.5,6,AS9,X,12.4,9.3,11.0,26,256
PICKUP TRUCK - STANDARD,3.5,6,A6,X,12.8,9.5,11.3,25,264
COMPACT,1.6,4,AS6,X,8.9,6.6,7.9,36,182
COMPACT,1.6,4,M6,X,8.8,6.5,7.8,36,184
MID-SIZE,2.0,4,AS6,X,8.3,6.4,7.4,38,174
MID-SIZE,2.0,4,M6,X,9.1,6.6,8.0,35,187
MID-SIZE,2.0,4,AS6,X,9.8,7.3,8.7,32,206
MID-SIZE,2.0,4,M6,X,9.8,7.2,8.7,32,204
FULL-SIZE,1.6,4,AM6,X,4.3,4.4,4.4,64,103
FULL-SIZE,1.6,4,AM6,X,4.2,4.0,4.1,69,96
SUV - SMALL,3.3,6,AS6,X,12.9,9.4,11.3,25,265
SUV - SMALL,3.3,6,AS6,X,13.0,9.7,11.5,25,269
SUV - SMALL,2.4,4,AS6,X,11.1,8.6,10.0,28,235
SUV - SMALL,2.0,4,AS6,X,12.5,9.6,11.2,25,264
SUV - SMALL,2.4,4,AS6,X,12.0,9.1,10.7,26,253
SUV - SMALL,3.3,6,AS6,X,13.9,10.8,12.5,23,295
FULL-SIZE,2.0,4,AS6,X,10.5,7.6,9.2,31,216
FULL-SIZE,2.4,4,AS6,X,9.4,6.7,8.2,34,194
FULL-SIZE,2.4,4,AS6,X,10.0,7.2,8.7,32,207
MID-SIZE,2.0,4,AS6,X,6.3,5.7,6.0,47,143
MID-SIZE,2.0,4,AS6,X,6.0,5.3,5.7,50,137
SUV - SMALL,1.6,4,AM7,X,9.9,8.5,9.3,30,221
SUV - SMALL,2.0,4,AS6,X,10.1,7.8,9.0,31,213
SUV - SMALL,2.0,4,AS6,X,11.0,9.1,10.2,28,241
COMPACT,1.6,4,AM6,X,8.3,6.7,7.6,37,180
COMPACT,1.6,4,M6,X,8.9,6.9,8.0,35,188
COMPACT,1.6,4,AS6,X,8.9,7.3,8.2,34,193
COMPACT,1.6,4,M6,X,9.4,7.2,8.4,34,200
MID-SIZE,2.0,4,AS7,Z,10.7,8.4,9.6,29,226
MID-SIZE,3.0,6,AS7,Z,12.6,8.8,10.9,26,256
MID-SIZE,3.0,6,AS7,Z,12.3,9.2,10.9,26,257
COMPACT,3.5,6,AS7,Z,9.1,7.7,8.5,33,200
SUBCOMPACT,2.0,4,AS7,Z,11.2,8.5,10.0,28,233
SUBCOMPACT,3.0,6,AS7,Z,12.4,8.8,10.8,26,253
SUBCOMPACT,3.0,6,AS7,Z,12.5,9.2,11.0,26,259
MID-SIZE,3.7,6,AS7,Z,13.2,9.8,11.7,24,274
MID-SIZE,5.6,8,AS7,Z,14.9,10.2,12.8,22,300
MID-SIZE,3.5,6,AS7,Z,8.4,7.1,7.8,36,184
COMPACT,2.0,4,AM7,Z,9.7,7.1,8.5,33,200
COMPACT,2.0,4,AM7,Z,10.6,8.0,9.4,30,221
STATION WAGON - SMALL,3.7,6,AS7,Z,13.7,9.8,11.9,24,280
SUV - SMALL,3.5,6,AV7,Z,11.9,8.8,10.5,27,246
SUV - SMALL,3.5,6,AV7,Z,12.5,9.1,10.9,26,257
SUV - STANDARD,2.5,4,AV7,X,9.5,8.6,9.1,31,214
SUV - SMALL,3.7,6,AS7,Z,14.5,10.8,12.8,22,301
SUV - STANDARD,5.6,8,AS7,Z,17.4,12.2,15.1,19,355
SUV - SMALL,3.0,6,AS8,Z,13.3,10.0,11.8,24,277
TWO-SEATER,3.0,6,AS8,Z,11.9,8.5,10.4,27,242
TWO-SEATER,3.0,6,M6,Z,14.9,9.8,12.6,22,296
TWO-SEATER,3.0,6,AS8,Z,11.9,8.5,10.4,27,242
TWO-SEATER,3.0,6,M6,Z,14.9,9.8,12.6,22,296
TWO-SEATER,5.0,8,AS8,Z,15.6,10.4,13.3,21,311
TWO-SEATER,5.0,8,AS6,Z,15.6,10.4,13.3,21,311
TWO-SEATER,3.0,6,AS8,Z,12.4,8.8,10.8,26,253
TWO-SEATER,3.0,6,M6,Z,15.3,10.0,12.9,22,302
TWO-SEATER,3.0,6,AS8,Z,13.0,9.2,11.3,25,265
TWO-SEATER,3.0,6,AS8,Z,12.4,8.8,10.8,26,253
TWO-SEATER,3.0,6,M6,Z,15.3,10.0,12.9,22,302
TWO-SEATER,3.0,6,AS8,Z,13.0,9.2,11.3,25,265
COMPACT,2.0,4,AS8,D,7.8,5.8,6.9,41,186
COMPACT,3.0,6,AS8,Z,11.8,8.2,10.2,28,238
MID-SIZE,2.0,4,AS8,D,7.8,5.8,6.9,41,186
MID-SIZE,3.0,6,AS8,Z,12.0,8.4,10.4,27,243
FULL-SIZE,3.0,6,AS8,Z,14.0,9.0,11.8,24,276
FULL-SIZE,3.0,6,AS8,Z,14.0,9.4,11.9,24,280
FULL-SIZE,5.0,8,AS8,Z,15.8,10.3,13.3,21,313
FULL-SIZE,5.0,8,AS8,Z,15.8,10.3,13.3,21,313
SUV - SMALL,2.4,4,A9,X,11.0,7.8,9.6,29,225
SUV - SMALL,3.2,6,A9,X,11.4,8.3,10.0,28,234
SUV - SMALL,2.4,4,A9,X,11.3,8.4,10.0,28,235
SUV - SMALL,3.2,6,A9,X,11.6,8.6,10.3,27,241
SUV - SMALL,2.4,4,A9,X,11.4,8.7,10.2,28,240
SUV - SMALL,3.2,6,A9,X,12.8,9.0,11.1,25,259
SUV - SMALL,2.4,4,A9,X,12.1,9.4,10.9,26,256
SUV - SMALL,3.2,6,A9,X,12.9,9.9,11.6,24,269
SUV - SMALL,2.0,4,AV,X,10.8,9.0,10.0,28,235
SUV - SMALL,2.0,4,M5,X,10.3,7.9,9.3,30,216
SUV - SMALL,2.4,4,A6,X,11.3,8.7,10.1,28,238
SUV - SMALL,2.4,4,M5,X,10.2,8.3,9.3,30,219
SUV - SMALL,2.4,4,A6,X,11.7,9.2,10.6,27,249
SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,259
SUV - SMALL,2.4,4,M5,X,10.6,8.7,9.8,29,230
SUV - STANDARD,3.6,6,A8,X,12.7,9.6,11.3,25,265
SUV - STANDARD,5.7,8,A8,X,16.6,10.7,14.0,20,328
SUV - STANDARD,6.4,8,A8,Z,18.3,12.6,15.7,18,368
SUV - SMALL,2.4,4,A6,X,10.6,7.6,9.3,30,218
SUV - SMALL,2.4,4,M6,X,10.4,7.3,9.0,31,211
SUV - SMALL,2.4,4,A9,X,10.8,7.8,9.5,30,222
SUV - SMALL,2.4,4,M6,X,10.8,7.6,9.4,30,221
SUV - SMALL,2.0,4,AV,X,10.8,9.0,10.0,28,235
SUV - SMALL,2.0,4,M5,X,10.3,7.9,9.3,30,216
SUV - SMALL,2.4,4,A6,X,11.3,8.7,10.1,28,238
SUV - SMALL,2.4,4,M5,X,10.2,8.3,9.3,30,219
SUV - SMALL,2.4,4,A6,X,11.7,9.2,10.6,27,249
SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,259
SUV - SMALL,2.4,4,M5,X,10.6,8.7,9.8,29,230
SUV - SMALL,1.4,4,M6,X,9.9,7.7,8.9,32,209
SUV - SMALL,2.4,4,A9,X,10.8,7.8,9.5,30,222
SUV - SMALL,2.4,4,A9,E,14.4,10.2,12.5,23,206
SUV - SMALL,1.4,4,M6,X,9.9,7.7,8.9,32,211
SUV - SMALL,2.4,4,A9,X,11.2,8.2,9.8,29,230
SUV - SMALL,3.6,6,A5,X,14.1,11.1,12.8,22,299
SUV - SMALL,3.6,6,M6,X,14.2,11.0,12.8,22,298
SUV - SMALL,3.6,6,A5,X,14.7,11.7,13.4,21,313
SUV - SMALL,3.6,6,M6,X,15.0,11.4,13.3,21,312
FULL-SIZE,3.3,6,AS8,X,11.5,8.5,10.2,28,237
MID-SIZE,2.0,4,AS6,X,7.9,6.3,7.2,39,170
MID-SIZE,2.0,4,AS6,X,9.4,7.0,8.3,34,198
MID-SIZE,2.0,4,M6,X,9.4,6.8,8.3,34,195
FULL-SIZE,1.6,4,AM7,X,9.4,7.9,8.7,32,207
FULL-SIZE,2.0,4,AS6,X,9.7,7.0,8.3,34,197
FULL-SIZE,2.0,4,M6,X,9.8,7.3,8.7,32,204
COMPACT,1.6,4,AM7,X,9.6,7.4,8.6,33,204
COMPACT,1.6,4,M6,X,10.1,8.0,9.2,31,216
COMPACT,2.0,4,AS6,X,9.6,7.3,8.6,33,203
COMPACT,2.0,4,M6,X,9.9,7.6,8.8,32,209
FULL-SIZE,3.8,6,AS8,X,13.8,9.3,11.8,24,279
FULL-SIZE,5.0,8,AS8,Z,15.6,10.6,13.3,21,317
STATION WAGON - SMALL,1.6,4,AM6,X,4.6,5.1,4.8,59,114
STATION WAGON - SMALL,1.6,4,AM6,X,4.5,4.8,4.7,60,110
STATION WAGON - SMALL,1.6,4,AM6,X,5.1,5.8,5.4,52,129
FULL-SIZE,2.4,4,AS6,X,9.6,6.8,8.4,34,198
FULL-SIZE,2.4,4,AS6,X,9.3,6.6,8.0,35,190
FULL-SIZE,2.0,4,AS6,X,10.9,7.6,9.4,30,224
MID-SIZE,2.0,4,AS6,X,6.0,5.1,5.6,50,132
COMPACT,1.6,4,AS6,X,8.8,6.5,7.8,36,181
COMPACT,1.6,4,M6,X,8.8,6.6,7.8,36,181
STATION WAGON - MID-SIZE,2.0,4,AS6,X,9.9,7.6,8.9,32,210
MINIVAN,3.3,6,AS6,X,13.2,9.7,11.6,24,275
MINIVAN,3.3,6,AS6,X,12.9,9.5,11.4,25,269
MINIVAN,3.3,6,AS6,X,14.1,10.5,12.5,23,296
SUV - SMALL,2.4,4,AS6,X,11.2,8.3,9.9,29,234
SUV - SMALL,2.0,4,AS6,X,12.3,9.4,11.0,26,259
SUV - SMALL,2.4,4,AS6,X,11.5,9.3,10.5,27,246
SUV - SMALL,3.3,6,AS6,X,14.0,10.1,12.2,23,289
SUV - SMALL,3.3,6,AS6,X,13.2,9.3,11.4,25,270
STATION WAGON - SMALL,1.6,4,AS6,X,9.4,7.8,8.7,32,205
STATION WAGON - SMALL,1.6,4,M6,X,9.7,7.8,8.8,32,208
STATION WAGON - SMALL,2.0,4,AS6,X,9.5,7.8,8.7,32,206
STATION WAGON - SMALL,1.6,4,AM7,X,9.1,7.7,8.5,33,199
SUV - SMALL,2.4,4,AS6,X,10.4,8.0,9.3,30,220
SUV - SMALL,2.0,4,AS6,X,11.9,10.2,11.1,25,263
SUV - SMALL,2.4,4,AS6,X,11.3,9.5,10.5,27,247
TWO-SEATER,6.5,12,AM7,Z,22.2,12.7,17.9,16,428
TWO-SEATER,6.5,12,AM7,Z,23.9,14.5,19.7,14,461
TWO-SEATER,6.5,12,AM7,Z,23.0,13.5,18.7,15,438
TWO-SEATER,6.5,12,AM7,Z,23.9,14.5,19.7,14,461
TWO-SEATER,5.2,10,AM7,Z,16.4,11.4,14.2,20,331
TWO-SEATER,5.2,10,AM7,Z,16.9,11.8,14.6,19,340
SUV - SMALL,2.0,4,AS9,Z,12.0,9.2,10.7,26,252
SUV - SMALL,2.0,4,AS9,Z,11.3,8.0,9.8,29,231
SUV - SMALL,2.0,4,AS9,Z,12.0,8.5,10.4,27,243
COMPACT,1.8,4,AV,X,5.5,5.9,5.7,50,132
MID-SIZE,2.5,4,AV6,X,5.8,6.1,5.9,48,139
MID-SIZE,3.5,6,AS6,X,11.4,7.7,9.7,29,226
MID-SIZE,3.5,6,AS6,Z,12.4,9.2,11.0,26,257
MID-SIZE,3.5,6,AV8,Z,8.0,6.9,7.5,38,176
COMPACT,5.0,8,AS8,Z,14.9,9.7,12.5,23,293
SUV - STANDARD,4.6,8,AS6,Z,16.0,12.9,14.6,19,341
COMPACT,2.0,4,AS8,Z,10.6,7.3,9.1,31,214
COMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258
COMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258
MID-SIZE,4.6,8,AS8,Z,15.1,10.3,12.9,22,303
MID-SIZE,4.6,8,AS8,Z,15.1,10.3,12.9,22,303
SUV - STANDARD,5.7,8,AS8,Z,18.2,13.0,15.8,18,372
SUV - SMALL,2.0,4,AS6,Z,10.7,8.5,9.7,29,226
SUV - SMALL,2.0,4,AS6,Z,10.8,8.9,9.9,29,232
SUV - SMALL,2.5,4,AV6,X,7.2,7.9,7.5,38,176
SUBCOMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258
SUBCOMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258
SUBCOMPACT,5.0,8,AS8,Z,15.2,9.5,12.6,22,289
SUV - SMALL,3.5,6,AS8,X,12.2,9.0,10.8,26,252
SUV - STANDARD,3.5,6,AV6,Z,7.5,8.4,7.9,36,185
FULL-SIZE,2.7,6,AS6,X,14.0,9.5,12.0,24,281
FULL-SIZE,3.0,6,AS6,X,14.4,9.7,12.3,23,288
FULL-SIZE,3.7,6,AS6,X,14.3,9.7,12.2,23,287
SUV - SMALL,2.0,4,AS6,X,12.3,9.3,10.9,26,256
SUV - SMALL,2.0,4,AS6,X,12.1,9.3,10.8,26,254
SUV - SMALL,2.3,4,AS6,X,13.1,9.4,11.4,25,268
SUV - STANDARD,3.5,6,AS6,X,15.7,11.2,13.7,21,321
SPECIAL PURPOSE VEHICLE,3.7,6,A6,X,14.7,10.2,12.7,22,298
SUV - SMALL,2.7,6,AS6,X,14.1,9.8,12.1,23,284
SUV - SMALL,3.7,6,AS6,X,14.4,10.3,12.5,23,293
MID-SIZE,2.0,4,AS6,X,11.2,7.6,9.8,29,230
MID-SIZE,3.0,6,AS6,X,13.4,8.7,11.2,25,264
MID-SIZE,2.0,4,AS6,X,11.8,8.4,10.2,28,239
MID-SIZE,3.0,6,AS6,X,14.0,9.2,11.8,24,278
MID-SIZE,2.0,4,AV,X,5.7,6.2,5.9,48,139
SUV - STANDARD,3.5,6,AS6,X,15.9,12.0,14.2,20,333
SUV - STANDARD,3.5,6,AS6,X,16.1,12.4,14.5,19,339
MID-SIZE,3.0,6,AS8,Z,14.1,9.8,12.4,23,286
MID-SIZE,3.0,6,AS8,Z,14.7,10.0,12.4,23,293
MID-SIZE,3.0,6,AS8,Z,14.7,9.9,12.6,22,295
SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1,19,355
SUBCOMPACT,4.7,8,AS6,Z,18.2,11.6,15.2,19,358
SUV - STANDARD,3.0,6,AS8,Z,16.8,11.9,14.7,19,340
SUV - STANDARD,3.0,6,AS8,Z,16.8,12.4,14.7,19,346
FULL-SIZE,3.8,8,AS8,Z,16.1,10.8,13.8,20,321
FULL-SIZE,3.0,6,AS8,Z,14.9,10.3,13.1,22,300
FULL-SIZE,3.0,6,AS8,Z,15.0,10.3,13.1,22,301
COMPACT,2.0,4,AS6,X,8.2,6.9,7.6,37,179
COMPACT,2.0,4,AS6,X,8.8,7.5,8.2,34,192
SUV - SMALL,2.0,4,M6,X,9.4,7.4,8.5,33,199
SUV - SMALL,2.5,4,AS6,X,9.8,7.7,8.6,33,204
SUV - SMALL,2.5,4,AS6,X,10.2,8.3,9.2,31,221
SUV - SMALL,2.5,4,AS6,X,10.6,8.4,9.6,29,225
SUV - SMALL,2.5,4,AS6,X,11.5,8.9,10.4,27,242
COMPACT,2.0,4,AS6,X,8.4,6.4,7.5,38,176
COMPACT,2.0,4,M6,X,8.5,6.2,7.5,38,175
COMPACT,2.0,4,M6,X,8.5,6.2,7.5,38,175
COMPACT,2.5,4,AS6,X,8.8,6.6,7.8,36,182
COMPACT,2.5,4,AS6,X,8.5,6.4,7.6,37,176
COMPACT,2.5,4,M6,X,9.3,6.9,8.2,34,194
MID-SIZE,2.0,4,AS6,X,8.4,6.4,7.5,38,174
MID-SIZE,2.0,4,M6,X,8.6,6.4,7.6,37,178
MID-SIZE,2.5,4,AS6,X,9.0,6.7,7.8,36,183
MID-SIZE,2.5,4,AS6,X,8.7,6.6,7.8,36,181
MID-SIZE,2.5,4,M6,X,9.6,7.0,8.4,34,198
MINIVAN,2.5,4,AS5,X,10.8,8.2,9.6,29,226
MINIVAN,2.5,4,M6,X,11.1,8.3,9.8,29,230
MID-SIZE,2.5,4,AS6,X,9.1,6.7,8.0,35,187
MID-SIZE,2.5,4,AS6,X,8.9,6.7,7.9,36,186
MID-SIZE,2.5,4,M6,X,9.8,6.9,8.4,34,196
TWO-SEATER,2.0,4,AS6,Z,9.0,6.7,8.0,35,187
TWO-SEATER,2.0,4,M6,Z,8.9,7.1,8.1,35,190
COMPACT,4.0,8,AS7,Z,13.4,9.6,11.7,24,273
SUBCOMPACT,4.0,8,AS7,Z,14.0,10.1,12.2,23,291
SUBCOMPACT,4.0,8,AS7,Z,13.8,10.1,12.1,23,285
COMPACT,4.0,8,AS7,Z,13.4,9.6,11.7,24,273
SUBCOMPACT,4.0,8,AS7,Z,14.0,10.1,12.2,23,291
SUBCOMPACT,4.0,8,AS7,Z,13.8,10.1,12.1,23,285
COMPACT,2.0,4,AS7,Z,10.7,7.6,9.3,30,221
COMPACT,5.5,8,AS7,Z,15.1,10.8,13.1,22,308
SUV - STANDARD,5.5,8,AS7,Z,20.0,16.6,18.5,15,413
SUV - STANDARD,6.0,12,AS7,Z,22.2,18.0,20.3,14,467
SUV - SMALL,2.0,4,AS7,Z,11.3,8.5,10.0,28,233
SUV - SMALL,3.0,6,A9,Z,17.4,11.1,14.6,19,353
SUV - STANDARD,3.0,6,A9,Z,13.6,10.1,12.0,24,281
SUV - STANDARD,3.0,6,A9,Z,13.6,10.2,12.0,24,281
SUV - STANDARD,5.5,8,AS7,Z,17.3,13.5,15.6,18,363
SUV - STANDARD,5.5,8,AS7,Z,17.2,12.8,15.2,19,363
SUV - STANDARD,5.5,8,AS7,Z,18.2,14.0,16.3,17,369
TWO-SEATER,4.0,8,AS7,Z,14.5,10.8,12.8,22,303
TWO-SEATER,4.0,8,AS7,Z,14.5,10.8,12.8,22,303
FULL-SIZE,5.5,8,AS7,Z,15.7,10.1,13.2,21,313
COMPACT,5.5,8,AS7,Z,16.4,10.6,13.8,20,322
COMPACT,5.5,8,AS7,Z,15.3,10.2,13.0,22,305
FULL-SIZE,6.0,12,AS7,Z,17.6,10.9,14.6,19,349
COMPACT,6.0,12,AS7,Z,17.1,11.0,14.3,20,348
COMPACT,6.0,12,AS7,Z,18.7,11.6,15.5,18,365
TWO-SEATER,5.5,8,AS7,Z,14.7,9.5,12.4,23,298
TWO-SEATER,6.0,12,AS7,Z,17.6,10.8,14.5,19,340
TWO-SEATER,3.0,6,A9,Z,11.6,8.2,10.1,28,234
MID-SIZE,2.0,4,AS7,Z,9.7,6.6,8.3,34,179
COMPACT,2.0,4,AS7,Z,10.1,7.8,9.0,31,212
SUBCOMPACT,2.0,4,A9,Z,10.8,8.0,9.5,30,222
SUBCOMPACT,2.0,4,AS7,Z,10.4,8.0,9.3,30,218
COMPACT,2.0,4,AS7,Z,9.6,6.4,8.1,35,190
COMPACT,4.7,8,A9,Z,13.6,9.4,11.7,24,275
MID-SIZE,2.0,4,A9,Z,10.8,8.1,9.5,30,246
MID-SIZE,3.0,6,A9,Z,11.8,8.6,10.4,27,245
STATION WAGON - MID-SIZE,3.0,6,A9,Z,12.4,9.3,11.0,26,259
SUBCOMPACT,3.0,6,AS7,Z,11.5,8.1,10.0,28,233
SUBCOMPACT,3.0,6,AS7,Z,11.8,8.4,10.2,28,239
SUBCOMPACT,4.7,8,AS7,Z,13.7,9.2,11.7,24,275
SUBCOMPACT,4.7,8,AS7,Z,13.4,8.9,11.4,25,268
SUV - STANDARD,4.0,8,AS7,Z,19.0,16.6,17.9,16,401
SUV - SMALL,2.0,4,AS7,Z,10.3,7.6,9.1,31,212
SUV - SMALL,2.0,4,AS7,E,13.6,10.0,12.0,24,128
SUV - SMALL,2.0,4,A9,Z,11.1,8.5,10.0,28,233
SUV - STANDARD,3.0,6,A9,Z,13.1,10.1,11.7,24,276
SUV - STANDARD,4.7,8,A9,Z,15.3,11.3,13.5,21,318
SUV - STANDARD,3.0,6,A9,Z,14.4,11.4,13.0,22,306
SUV - STANDARD,4.7,8,A9,Z,16.7,12.9,15.0,19,347
FULL-SIZE,6.0,12,AS7,Z,18.2,11.0,15.0,19,359
SPECIAL PURPOSE VEHICLE,2.0,4,AS7,Z,11.1,9.1,10.2,28,240
SPECIAL PURPOSE VEHICLE,2.0,4,AS7,Z,11.5,9.3,10.5,27,248
MID-SIZE,3.0,6,AS7,Z,12.6,8.6,10.8,26,253
MID-SIZE,4.7,8,A9,Z,14.3,9.2,12.0,24,280
FULL-SIZE,4.7,8,A9,Z,14.3,9.2,12.0,24,280
COMPACT,4.7,8,A9,Z,13.9,9.3,11.8,24,276
COMPACT,4.7,8,A9,Z,14.1,9.3,11.9,24,278
FULL-SIZE,6.0,12,AS7,Z,17.5,10.8,14.5,19,350
TWO-SEATER,3.0,6,A9,Z,11.5,8.4,10.1,28,237
TWO-SEATER,4.7,8,A9,Z,13.6,9.5,11.7,24,275
TWO-SEATER,2.0,4,A9,Z,9.5,7.2,8.5,33,200
SUBCOMPACT,1.5,3,AS6,Z,8.8,6.8,7.9,36,184
SUBCOMPACT,1.5,3,M6,Z,8.5,6.2,7.5,38,175
SUBCOMPACT,1.5,3,AS6,Z,8.8,6.8,7.9,36,184
SUBCOMPACT,1.5,3,M6,Z,8.5,6.3,7.5,38,175
MID-SIZE,1.5,3,AS6,Z,9.5,7.2,8.4,34,197
MID-SIZE,1.5,3,M6,Z,9.6,7.0,8.4,34,197
